EventTitle,EventCode,EventDate,TrainingPhase,CompanyAssigned,SubmitterRole,SubmitterName,OverallRating,ObjectivesMet,InstructorEffectiveness,TimeManagement,ResourceAdequacy,Sustains,Improves,SafetyConcerns,HasSafetyConcern,AdditionalComments,SubmittedDate,ReviewedBy,ReviewStatus,ActionTaken
Warfighting Fundamentals Lecture,PI-019,2026-01-30,Phase I - Individual Skills,Alpha,SPC,SSgt Meyer,4 - Above Average,Most objectives met,,Too short,Some shortages,Well-organized flow from classroom to field application.,Could use more repetitions before the graded event.,,False,,2026-01-30T00:00:00,1stLt Thompson,Closed,
Warfighting Fundamentals Lecture,PI-019,2026-01-30,Phase I - Individual Skills,Alpha,Student,,3 - Average,Most objectives met,5 - Excellent,Too long,Fully resourced,"Supporting materials (handouts, map sheets) were well prepared.",Water and shade at the range were insufficient for the heat conditions.,,False,,2026-01-30T00:00:00,Capt Tran,Closed,
Warfighting Fundamentals Lecture,PI-019,2026-01-30,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,4 - Above Average,Significant dead time,Mostly adequate,Night iteration was challenging but realistic.,Should provide the reading material further in advance.,,False,Would benefit from a follow-up practical next week.,2026-02-01T00:00:00,Capt Tran,Closed,
Combat Marksmanship Program Day 2,PI-018,2026-01-29,Phase I - Individual Skills,Alpha,Instructor,GySgt Watkins,3 - Average,Most objectives met,,About right,Fully resourced,Peer leadership opportunities were well distributed.,Could use more repetitions before the graded event.,,False,Good event but needs more ammo allocation next time.,2026-01-29T00:00:00,Capt Bishop,Reviewed,
Combat Marksmanship Program Day 2,PI-018,2026-01-29,Phase I - Individual Skills,Alpha,SPC,Capt Lamb,1 - Ineffective,Few objectives met,,About right,Fully resourced,Excellent use of realistic scenarios that reinforced earlier lectures.,Could use more repetitions before the graded event.,,False,,2026-01-31T00:00:00,Capt Tran,Closed,
Combat Marksmanship Program Day 2,PI-018,2026-01-29,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,3 - Average,Too short,Mostly adequate,Peer leadership opportunities were well distributed.,Radio equipment had multiple deadlined items - need PMCS before the event.,,False,Best training event so far in the cycle.,2026-01-30T00:00:00,Capt Tran,Closed,
Combat Marksmanship Program Day 2,PI-018,2026-01-29,Phase I - Individual Skills,Alpha,Instructor,1stLt Thompson,3 - Average,All objectives met,,About right,Mostly adequate,Night iteration was challenging but realistic.,Radio equipment had multiple deadlined items - need PMCS before the event.,,False,,2026-01-31T00:00:00,Capt Tran,Reviewed,
Compass and Protractor Lab,PI-009,2026-01-15,Phase I - Individual Skills,Alpha,SPC,Capt Lamb,4 - Above Average,Most objectives met,,Significant dead time,Mostly adequate,AAR conducted at the end was very valuable for consolidating learning.,The timeline was too compressed - rushed through the last two objectives.,,False,,2026-01-15T00:00:00,Capt Tran,Closed,
Compass and Protractor Lab,PI-009,2026-01-15,Phase I - Individual Skills,Alpha,Instructor,Capt Lamb,3 - Average,Most objectives met,,About right,Some shortages,Peer leadership opportunities were well distributed.,Recommend adding a sand table exercise before going to the field.,,False,Recommend scheduling this earlier in the phase.,2026-01-17T00:00:00,1stLt Thompson,Reviewed,
Compass and Protractor Lab,PI-009,2026-01-15,Phase I - Individual Skills,Alpha,Student,,5 - Excellent,Most objectives met,4 - Above Average,Too long,Mostly adequate,Good progressive build from individual to team tasks.,Would benefit from more time on the practical application phase.,,False,,2026-01-17T00:00:00,1stLt Thompson,Reviewed,
Compass and Protractor Lab,PI-009,2026-01-15,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,Most objectives met,3 - Average,About right,Some shortages,Well-organized flow from classroom to field application.,Would help to have a demonstration before students attempt the task.,,False,,2026-01-17T00:00:00,Capt Tran,Reviewed,
Offensive Operations Lecture,PI-029,2026-02-16,Phase I - Individual Skills,Alpha,Instructor,SSgt Diaz,2 - Below Average,Some objectives met,,About right,Fully resourced,Good ratio of instructors to students on the lanes.,Consider breaking into smaller groups for the hands-on portions.,,False,Best training event so far in the cycle.,2026-02-18T00:00:00,1stLt Thompson,Closed,
Offensive Operations Lecture,PI-029,2026-02-16,Phase I - Individual Skills,Alpha,SPC,GySgt Watkins,4 - Above Average,Most objectives met,,Too short,Fully resourced,Good progressive build from individual to team tasks.,Need better lighting for the classroom portion - hard to see slides.,Water bull ran dry at 1400 - resupply took 45 minutes in high heat conditions.,True,,2026-02-16T00:00:00,Capt Bishop,Reviewed,Safety concern routed to S-3 and reviewed at weekly training meeting.
TBS Check-In and Orientation,PI-001,2026-01-05,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,Most objectives met,5 - Excellent,Too long,Fully resourced,Range setup was efficient - minimal time waiting to fire.,Should provide the reading material further in advance.,,False,Recommend scheduling this earlier in the phase.,2026-01-06T00:00:00,Capt Tran,Reviewed,
TBS Check-In and Orientation,PI-001,2026-01-05,Phase I - Individual Skills,Alpha,Instructor,1stLt Thompson,3 - Average,All objectives met,,About right,Fully resourced,Instructors were patient and provided individual feedback.,"Feedback forms should be distributed immediately after the event, not the next day.",,False,Would benefit from a follow-up practical next week.,2026-01-07T00:00:00,Capt Bishop,Closed,
Known Distance Rifle Qualification - Day 1,PI-015,2026-01-26,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,Most objectives met,4 - Above Average,Too long,Mostly adequate,Good ratio of instructors to students on the lanes.,Would benefit from more time on the practical application phase.,,False,,2026-01-28T00:00:00,Capt Bishop,Reviewed,
Known Distance Rifle Qualification - Day 1,PI-015,2026-01-26,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,Most objectives met,5 - Excellent,Significant dead time,Mostly adequate,Good integration of lessons learned from recent operational deployments.,Recommend adding a sand table exercise before going to the field.,,False,,2026-01-28T00:00:00,Capt Bishop,Reviewed,
Known Distance Rifle Qualification - Day 1,PI-015,2026-01-26,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,4 - Above Average,About right,Mostly adequate,Good integration of lessons learned from recent operational deployments.,Consider breaking into smaller groups for the hands-on portions.,,False,,2026-01-26T00:00:00,Capt Tran,Closed,
Marine Corps Planning Process Overview,PI-006,2026-01-12,Phase I - Individual Skills,Alpha,Instructor,Capt Tran,4 - Above Average,Most objectives met,,Too short,Significant shortages,Excellent use of realistic scenarios that reinforced earlier lectures.,Recommend adding a sand table exercise before going to the field.,,False,,2026-01-14T00:00:00,Capt Bishop,Closed,
Marine Corps Planning Process Overview,PI-006,2026-01-12,Phase I - Individual Skills,Alpha,Instructor,SSgt Roth,3 - Average,All objectives met,,About right,Fully resourced,Safety brief was thorough without being excessive.,Range had too much downtime between relays - suggest adding a concurrent training station.,,False,Good event but needs more ammo allocation next time.,2026-01-12T00:00:00,1stLt Thompson,Reviewed,
Marine Corps Planning Process Overview,PI-006,2026-01-12,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,4 - Above Average,Too long,Some shortages,Well-organized flow from classroom to field application.,Consider breaking into smaller groups for the hands-on portions.,,False,Recommend scheduling this earlier in the phase.,2026-01-14T00:00:00,1stLt Thompson,Closed,
Academic Quiz 1 - Map Reading,PI-010,2026-01-16,Phase I - Individual Skills,Alpha,Instructor,1stLt Lee,2 - Below Average,Some objectives met,,Significant dead time,Fully resourced,Peer leadership opportunities were well distributed.,Recommend adding a sand table exercise before going to the field.,,False,Recommend scheduling this earlier in the phase.,2026-01-16T00:00:00,Capt Bishop,Closed,
Academic Quiz 1 - Map Reading,PI-010,2026-01-16,Phase I - Individual Skills,Alpha,Instructor,Capt Tran,4 - Above Average,Most objectives met,,Too short,Mostly adequate,Good integration of lessons learned from recent operational deployments.,The timeline was too compressed - rushed through the last two objectives.,,False,,2026-01-18T00:00:00,Capt Tran,Closed,
Military Briefing Techniques,PI-041,2026-02-10,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,Most objectives met,5 - Excellent,Too long,Mostly adequate,Good ratio of instructors to students on the lanes.,Some students didn't get a chance to lead during iterations.,,False,,2026-02-10T00:00:00,1stLt Thompson,Reviewed,
Military Briefing Techniques,PI-041,2026-02-10,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,4 - Above Average,About right,Fully resourced,Effective use of time - minimal dead time between iterations.,Radio equipment had multiple deadlined items - need PMCS before the event.,,False,Would benefit from a follow-up practical next week.,2026-02-11T00:00:00,Capt Tran,Closed,
Call for Fire Practical Application,PI-032,2026-02-19,Phase I - Individual Skills,Alpha,SPC,SSgt Diaz,4 - Above Average,All objectives met,,About right,Fully resourced,Effective use of time - minimal dead time between iterations.,Range had too much downtime between relays - suggest adding a concurrent training station.,,False,Recommend scheduling this earlier in the phase.,2026-02-19T00:00:00,1stLt Thompson,Closed,
Call for Fire Practical Application,PI-032,2026-02-19,Phase I - Individual Skills,Alpha,SPC,Capt Lamb,3 - Average,Most objectives met,,About right,Mostly adequate,"Supporting materials (handouts, map sheets) were well prepared.",Should provide the reading material further in advance.,,False,,2026-02-21T00:00:00,Capt Bishop,Reviewed,
Call for Fire Practical Application,PI-032,2026-02-19,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,3 - Average,About right,Some shortages,Equipment was pre-staged and ready when students arrived.,Need better lighting for the classroom portion - hard to see slides.,,False,Best training event so far in the cycle.,2026-02-19T00:00:00,Capt Tran,Closed,
Rifle Marksmanship Fundamentals,PI-014,2026-01-23,Phase I - Individual Skills,Alpha,Student,,3 - Average,All objectives met,3 - Average,About right,Fully resourced,Good progressive build from individual to team tasks.,The timeline was too compressed - rushed through the last two objectives.,,False,,2026-01-25T00:00:00,Capt Bishop,Reviewed,
Rifle Marksmanship Fundamentals,PI-014,2026-01-23,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,4 - Above Average,Significant dead time,Mostly adequate,Safety brief was thorough without being excessive.,Would benefit from more time on the practical application phase.,Water bull ran dry at 1400 - resupply took 45 minutes in high heat conditions.,True,,2026-01-23T00:00:00,Capt Bishop,Reviewed,Safety concern routed to S-3 and reviewed at weekly training meeting.
Rifle Marksmanship Fundamentals,PI-014,2026-01-23,Phase I - Individual Skills,Alpha,Student,,2 - Below Average,No objectives met,3 - Average,Significant dead time,Mostly adequate,Equipment was pre-staged and ready when students arrived.,Need better lighting for the classroom portion - hard to see slides.,Two students showed signs of heat exhaustion - corpsman treated on site.,True,Good event but needs more ammo allocation next time.,2026-01-24T00:00:00,1stLt Thompson,Action Required,
Patrol Base Operations,PI-022,2026-02-04,Phase I - Individual Skills,Alpha,Instructor,GySgt Watkins,2 - Below Average,Some objectives met,,About right,Mostly adequate,Peer leadership opportunities were well distributed.,Water and shade at the range were insufficient for the heat conditions.,Water bull ran dry at 1400 - resupply took 45 minutes in high heat conditions.,True,,2026-02-05T00:00:00,1stLt Thompson,Reviewed,Safety concern routed to S-3 and reviewed at weekly training meeting.
Patrol Base Operations,PI-022,2026-02-04,Phase I - Individual Skills,Alpha,Student,,1 - Ineffective,No objectives met,4 - Above Average,About right,Fully resourced,Instructors were patient and provided individual feedback.,Should provide the reading material further in advance.,,False,,2026-02-05T00:00:00,Capt Bishop,Reviewed,
Patrol Base Operations,PI-022,2026-02-04,Phase I - Individual Skills,Alpha,Student,,3 - Average,Most objectives met,5 - Excellent,About right,Fully resourced,Effective use of time - minimal dead time between iterations.,The timeline was too compressed - rushed through the last two objectives.,,False,Good event but needs more ammo allocation next time.,2026-02-05T00:00:00,Capt Bishop,Reviewed,
Academic Quiz 2 - Tactics Fundamentals,PI-027,2026-02-12,Phase I - Individual Skills,Alpha,SPC,Capt Harris,5 - Excellent,Most objectives met,,About right,Fully resourced,Night iteration was challenging but realistic.,Would benefit from more time on the practical application phase.,,False,Good event but needs more ammo allocation next time.,2026-02-12T00:00:00,Capt Bishop,Reviewed,
Academic Quiz 2 - Tactics Fundamentals,PI-027,2026-02-12,Phase I - Individual Skills,Alpha,Instructor,Capt Bishop,4 - Above Average,All objectives met,,About right,Mostly adequate,Well-organized flow from classroom to field application.,Range had too much downtime between relays - suggest adding a concurrent training station.,Night land nav course had an unmarked ravine not shown on the map overlay.,True,Recommend scheduling this earlier in the phase.,2026-02-12T00:00:00,Capt Tran,Reviewed,Safety concern routed to S-3 and reviewed at weekly training meeting.
Pistol Marksmanship Fundamentals,PI-020,2026-02-02,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,Most objectives met,5 - Excellent,About right,Mostly adequate,Equipment was pre-staged and ready when students arrived.,Some instructors gave contradictory guidance on the patrol order format.,,False,,2026-02-02T00:00:00,Capt Tran,Reviewed,
Pistol Marksmanship Fundamentals,PI-020,2026-02-02,Phase I - Individual Skills,Alpha,Student,,3 - Average,Some objectives met,4 - Above Average,About right,Mostly adequate,Range setup was efficient - minimal time waiting to fire.,Some students didn't get a chance to lead during iterations.,,False,Best training event so far in the cycle.,2026-02-03T00:00:00,Capt Bishop,Reviewed,
Pistol Marksmanship Fundamentals,PI-020,2026-02-02,Phase I - Individual Skills,Alpha,SPC,Capt Bishop,4 - Above Average,Most objectives met,,Too long,Fully resourced,Equipment was pre-staged and ready when students arrived.,Need more map sheets - several students had to share.,,False,Would benefit from a follow-up practical next week.,2026-02-02T00:00:00,Capt Tran,Reviewed,
Pistol Marksmanship Fundamentals,PI-020,2026-02-02,Phase I - Individual Skills,Alpha,Student,,4 - Above Average,All objectives met,5 - Excellent,Significant dead time,Fully resourced,Night iteration was challenging but realistic.,Some students didn't get a chance to lead during iterations.,,False,Recommend scheduling this earlier in the phase.,2026-02-02T00:00:00,Capt Bishop,Reviewed,
Squad Movement Techniques,PII-001,2026-03-02,Phase II - Squad,Alpha,Student,,5 - Excellent,All objectives met,4 - Above Average,Too long,Mostly adequate,Equipment was pre-staged and ready when students arrived.,Need more map sheets - several students had to share.,,False,,2026-03-04T00:00:00,,Pending Review,
Squad Movement Techniques,PII-001,2026-03-02,Phase II - Squad,Alpha,Instructor,SSgt Roth,4 - Above Average,All objectives met,,About right,Mostly adequate,Equipment was pre-staged and ready when students arrived.,Some instructors gave contradictory guidance on the patrol order format.,Water bull ran dry at 1400 - resupply took 45 minutes in high heat conditions.,True,,2026-03-04T00:00:00,Capt Bishop,Action Required,
Squad Movement Techniques,PII-001,2026-03-02,Phase II - Squad,Alpha,SPC,GySgt Watkins,4 - Above Average,All objectives met,,About right,Mostly adequate,Peer leadership opportunities were well distributed.,Should provide the reading material further in advance.,,False,,2026-03-03T00:00:00,,Pending Review,
